Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude
"Très bien présenté, surtout avec l'idée de l'utilisation d'un tableau blanc j'aime bien",04/01/2021,PDC,Pr,P,J,NE
contenu intéressant,04/01/2021,PDC,C,P,J,NE
très bien structuré,04/01/2021,PDC,S,P,J,NE
juste ce qu'il faut côté design,04/01/2021,PDC,D,P,J,NE
séance interactive ,04/01/2021,PDC,CO,P,J,NE
Cours bien enrichissant ,04/01/2021,PDC,G,P,J,NE
je n'admire pas vraiment la présentation,04/01/2021,IHM,Pr,N,M,NE
"on peut dire que les notions intéressante , mais j'apprécie pas forcément les exemples (je sens que c'est dépassé ) comme si le cour n'a pas évolué avec la technologie (avec tous mes respects pour l'équipe de préparation)",04/01/2021,IHM,C,N,M,NE
c'est juste des slides remplis ce n'est pas attirant,04/01/2021,IHM,S,N,E,NE
présentation fade,04/01/2021,IHM,D,N,E,NE
Une bonne communication entre le prof et les étudiants,04/01/2021,IHM,CO,P,J,NE
 je souhaite qu'on ameliore le contenu et la présentation car on s'ennuie trop et ça nous donne pas envie d'assister,04/01/2021,IHM,G,N,E,NE
Le cours est bien présenté,04/01/2021,PDC,Pr,P,J,NE
Je préfère avoir plus d'exemples afin de bien assimiler les concepts,04/01/2021,PDC,C,N,M,NE
"Organisé, une bonne cohérence entre les concepts",04/01/2021,PDC,S,P,J,NE
J'ai du mal à suivre tellement les concepts sont nombreux et se ressemblent je me sens perdu,04/01/2021,PDC,G,N,A,NE
"Bonne présentation , les slides sont bien animés",04/01/2021,PDC,D,P,J,NE
"Le prof pose toujours des questions par rapport à la compréhension des étudiants et répond aux questions des étudiants, il y'a une bonne communication et gestion du cours, il me motive",04/01/2021,PDC,CO,P,J,A
"Par contre là, oui trop de concepts difficile à assimiler tous à la fois, si tu rates une petite partie à cause de la connexion pourrie tu n'arrives plus à suivre la suite et ça me stresse car ça m'est arrivée plusieurs fois",04/01/2021,PDC,G,N,A,NE
Manque légèrement de dynamisme,04/01/2021,PDC,Pr,N,M,NE
 pourrait être un peu plus orienté vers des exemples concrets,04/01/2021,PDC,C,N,M,NE
"Cours bien organisé, néanmoins une vue plus globale avec la description des liens existants entre chaque concept pourrait être intéressante",04/01/2021,PDC,S,N,M,NE
"Typographies soignées, images représentatives et couleurs harmonieuses.",04/01/2021,PDC,D,P,J,NE
 les slides sont parfois un peu trop chargées en texte,04/01/2021,PDC,D,N,M,NE
"Hormis les questions des étudiants, peu d'occasions d'interaction je m'ennuie trop ",04/01/2021,PDC,CO,N,E,NE
"Séance très intéressante avec du contenu que je découvre pour la première fois, certains aspects pourraient être améliorés pour rendre l'expérience parfaite",04/01/2021,PDC,G,P,J,NE
cours bien expliqué,04/01/2021,PDC,Pr,P,J,NE
"cours intéressant, mais ça serait mieux d'avoir plus d'exemples",04/01/2021,PDC,C,N,M,NE
bien organisé,04/01/2021,PDC,S,P,J,NE
j'ai tendance à dire qu'il y a beaucoup de textes dans quelques slides,04/01/2021,PDC,D,N,E,NE
le prof répond toujours aux questions et incite les étudiants à poser leurs questions  donc une bonne interaction,04/01/2021,PDC,CO,P,J,A
j'ai trop aimé car j'ai appris de nouvelles choses,04/01/2021,PDC,G,P,J,NE
le prof présente d'une manière rapide j'aime pas du tout sa méthode,04/01/2021,PDC,Pr,N,M,NE
Le cours est intéressant ,04/01/2021,PDC,C,P,J,NE
Le cours est bien structuré.,04/01/2021,PDC,S,P,J,NE
il faut ajouter quelques animations.,04/01/2021,PDC,D,N,M,NE
Très bonne communication,04/01/2021,PDC,CO,P,J,NE
C'est incroyable la quantité de connaissances que j'ai acquises aujourd’hui,04/01/2021,PDC,G,P,J,NE
l'explication est bonne mais la façon c'est inactive,04/01/2021,PDC,Pr,N,M,NE
les notions sont importantes et intéressantes,04/01/2021,PDC,C,P,J,NE
j'aime bien la structure de ce cours et surtout les exemples sont bien choisis,04/01/2021,PDC,S,P,J,NE
 les diapos sont un petit peu chargés il est utile de séparer les sous titres dans des diapos appart,04/01/2021,PDC,D,N,M,NE
il n'y a pas beaucoup d'interaction entre les étudiants et l'enseignant est ennuyant.,04/01/2021,PDC,CO,N,E,NE
l'explication est claire et l'enseignant répond à nos questions,04/01/2021,PDC,G,P,J,A
j'aime pas vraiment la méthode abordée en ligne dans la séance de pdc,04/01/2021,PDC,Pr,N,M,NE
"Trop de patrons, j'aimerais si on étudie peu de patrons pour bien les maîtriser",04/01/2021,PDC,C,N,M,NE
