Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude,Valeur,Attente
"Très bien présenté, surtout avec l'idée de l'utilisation d'un tableau blanc j'aime bien",1/4/2021,PDC,Pr,P,J,NE,I,NE
contenu intéressant,1/4/2021,PDC,C,P,J,NE,I,NE
très bien structuré,1/4/2021,PDC,S,P,J,NE,NE,NE
juste ce qu'il faut côté design,1/4/2021,PDC,D,P,J,NE,NE,NE
séance interactive ,1/4/2021,PDC,CO,P,J,NE,NE,NE
Cours bien enrichissant ,1/4/2021,PDC,G,P,J,NE,I,NE
je n'admire pas vraiment la présentation,1/4/2021,IHM,Pr,N,M,NE,NE,NE
"on peut dire que les notions intéressante , mais j'apprécie pas forcément les exemples (je sens que c'est dépassé ) comme si le cour n'a pas évolué avec la technologie (avec tous mes respects pour l'équipe de préparation)",1/4/2021,IHM,C,N,M,NE,I,NE
c'est juste des slides remplis ce n'est pas attirant,1/4/2021,IHM,S,N,E,NE,NE,NE
présentation fade,1/4/2021,IHM,D,N,E,NE,NE,NE
Une bonne communication entre le prof et les étudiants,1/4/2021,IHM,CO,P,J,NE,NE,NE
 je souhaite qu'on ameliore le contenu et la présentation car on s'ennuie trop et ça nous donne pas envie d'assister,1/4/2021,IHM,G,N,E,NE,C,NE
Le cours est bien présenté,1/4/2021,PDC,Pr,P,J,NE,NE,NE
Je préfère avoir plus d'exemples afin de bien assimiler les concepts,1/4/2021,PDC,C,N,M,NE,NE,NE
"Organisé, une bonne cohérence entre les concepts",1/4/2021,PDC,S,P,J,NE,NE,NE
J'ai du mal à suivre tellement les concepts sont nombreux et se ressemblent je me sens perdu,1/4/2021,PDC,G,N,A,NE,C,NE
"Bonne présentation , les slides sont bien animés",1/4/2021,PDC,D,P,J,NE,NE,NE
"Le prof pose toujours des questions par rapport à la compréhension des étudiants et répond aux questions des étudiants, il y'a une bonne communication et gestion du cours, il me motive",1/4/2021,PDC,CO,P,J,A,I,NE
"Par contre là, oui trop de concepts difficile à assimiler tous à la fois, si tu rates une petite partie à cause de la connexion pourrie tu n'arrives plus à suivre la suite et ça me stresse car ça m'est arrivée plusieurs fois",1/4/2021,PDC,G,N,A,NE,C,N
Manque légèrement de dynamisme,1/4/2021,PDC,Pr,N,M,NE,NE,NE
 pourrait être un peu plus orienté vers des exemples concrets,1/4/2021,PDC,C,N,M,NE,NE,NE
"Cours bien organisé, néanmoins une vue plus globale avec la description des liens existants entre chaque concept pourrait être intéressante",1/4/2021,PDC,S,N,M,NE,NE,NE
"Typographies soignées, images représentatives et couleurs harmonieuses.",1/4/2021,PDC,D,P,J,NE,NE,NE
 les slides sont parfois un peu trop chargées en texte,1/4/2021,PDC,D,N,M,NE,NE,NE
"Hormis les questions des étudiants, peu d'occasions d'interaction je m'ennuie trop ",1/4/2021,PDC,CO,N,E,NE,C,NE
"Séance très intéressante avec du contenu que je découvre pour la première fois, certains aspects pourraient être améliorés pour rendre l'expérience parfaite",1/4/2021,PDC,G,P,J,NE,I,NE
cours bien expliqué,1/4/2021,PDC,Pr,P,J,NE,NE,NE
"cours intéressant, mais ça serait mieux d'avoir plus d'exemples",1/4/2021,PDC,C,N,M,NE,I,NE
bien organisé,1/4/2021,PDC,S,P,J,NE,NE,NE
j'ai tendance à dire qu'il y a beaucoup de textes dans quelques slides,1/4/2021,PDC,D,N,E,NE,NE,NE
le prof répond toujours aux questions et incite les étudiants à poser leurs questions  donc une bonne interaction,1/4/2021,PDC,CO,P,J,A,NE,NE
j'ai trop aimé car j'ai appris de nouvelles choses,1/4/2021,PDC,G,P,J,NE,I,NE
le prof présente d'une manière rapide j'aime pas du tout sa méthode,1/4/2021,PDC,Pr,N,M,NE,NE,NE
Le cours est intéressant ,1/4/2021,PDC,C,P,J,NE,I,NE
Le cours est bien structuré.,1/4/2021,PDC,S,P,J,NE,NE,NE
il faut ajouter quelques animations.,1/4/2021,PDC,D,N,M,NE,NE,NE
Très bonne communication,1/4/2021,PDC,CO,P,J,NE,NE,NE
C'est incroyable la quantité de connaissances que j'ai acquises aujourd’hui,1/4/2021,PDC,G,P,J,NE,A,NE
l'explication est bonne mais la façon c'est inactive,1/4/2021,PDC,Pr,N,M,NE,NE,NE
les notions sont importantes et intéressantes,1/4/2021,PDC,C,P,J,NE,A,NE
