Commentaire,Séance,Module,Présentation,Contenu,Design,Général,Communication,Structure,Utilité,Intrinsèque,Accomplissement,Cout,Anxiété,Colère,Ennui,Joie,espoir,"
désespoir",Satisfaction,Gratitude,"
Déception",Mécontentement,Confusion,Polarité,Attitude,Attente,Valeur,Sentiment,Aspect
"Très bien présenté, surtout avec l'idée de l'utilisation d'un tableau blanc j'aime bien",/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,Pr
contenu intéressant,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,C
très bien structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
juste ce qu'il faut côté design,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
séance interactive ,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,CO
Cours bien enrichissant ,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,G
je n'admire pas vraiment la présentation,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,Pr
on peut dire que les notions intéressante .,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,P,NE,NE,I,M,C
j'apprécie pas forcément les exemples (je sens que c'est dépassé ) comme si le cour n'a pas évolué avec la technologie (avec tous mes respects pour l'équipe de préparation),/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,E,S
c'est juste des slides remplis ce n'est pas attirant,/,Esi,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,E,D
présentation fade,/,Esi,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,CO
Une bonne communication entre le prof et les étudiants,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,G
 je souhaite qu'on ameliore le contenu et la présentation car on s'ennuie trop et ça nous donne pas envie d'assister,/,Esi,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,Pr
Le cours est bien présenté,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,C
Je préfère avoir plus d'exemples afin de bien assimiler les concepts,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,S
