Commentaire,Séance,Module,Polarité,Attitude,Attente,Présentation,Contenu,Design,Général,Communication,Structure,Anxiété,Colère,Ennui,Joie,Mécontentement,Confusion,Utilité,Intrinsèque,Accomplissement,Cout,Satisfaction,Gratitude,Sentiment,Aspect,Niveau
"Très bien présenté, surtout avec l'idée de l'utilisation d'un tableau blanc j'aime bien",04/01/2021,PDC,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CS
contenu intéressant,04/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,C,1CS
très bien structuré,04/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CS
juste ce qu'il faut côté design,04/01/2021,PDC,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CS
séance interactive ,04/01/2021,PDC,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
Cours bien enrichissant ,04/01/2021,PDC,P,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,G,1CS
je n'admire pas vraiment la présentation,04/01/2021,IHM,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,Pr,1CS
on peut dire que les notions intéressante .,04/01/2021,IHM,P,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,M,C,1CS
j'apprécie pas forcément les exemples (je sens que c'est dépassé ) comme si le cour n'a pas évolué avec la technologie (avec tous mes respects pour l'équipe de préparation),04/01/2021,IHM,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,E,S,1CS
c'est juste des slides remplis ce n'est pas attirant,04/01/2021,IHM,N,NE,NE,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,E,D,1CS
présentation fade,04/01/2021,IHM,N,NE,NE,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,J,CO,1CS
Une bonne communication entre le prof et les étudiants,04/01/2021,IHM,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,E,G,1CS
 je souhaite qu'on ameliore le contenu et la présentation car on s'ennuie trop et ça nous donne pas envie d'assister,04/01/2021,IHM,N,NE,NE,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,J,Pr,1CS
Le cours est bien présenté,04/01/2021,PDC,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,C,1CS
Je préfère avoir plus d'exemples afin de bien assimiler les concepts,04/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,S,1CS
"Organisé, une bonne cohérence entre les concepts",04/01/2021,PDC,P,NE,NE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,A,G,1CS
J'ai du mal à suivre tellement les concepts sont nombreux et se ressemblent je me sens perdu,04/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,J,D,1CS
"Bonne présentation , les slides sont bien animés",04/01/2021,PDC,P,NE,NE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CS
"Le prof pose toujours des questions par rapport à la compréhension des étudiants et répond aux questions des étudiants, il y'a une bonne communication et gestion du cours, il me motive",04/01/2021,PDC,P,A,NE,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,A,G,1CS
"Par contre là, oui trop de concepts difficile à assimiler tous à la fois, si tu rates une petite partie à cause de la connexion pourrie tu n'arrives plus à suivre la suite et ça me stresse car ça m'est arrivée plusieurs fois",04/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,M,Pr,1CS
Manque légèrement de dynamisme,04/01/2021,PDC,N,NE,NE,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,M,C,1CS
 pourrait être un peu plus orienté vers des exemples concrets,04/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,S,1CS
"Cours bien organisé, néanmoins une vue plus globale avec la description des liens existants entre chaque concept pourrait être intéressante",04/01/2021,PDC,N,NE,NE,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,J,D,1CS
"Typographies soignées, images représentatives et couleurs harmonieuses.",04/01/2021,PDC,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CS
 les slides sont parfois un peu trop chargées en texte,04/01/2021,PDC,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,E,CO,1CS
"Hormis les questions des étudiants, peu d'occasions d'interaction je m'ennuie trop ",04/01/2021,PDC,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,J,G,1CS
"Séance très intéressante avec du contenu que je découvre pour la première fois, certains aspects pourraient être améliorés pour rendre l'expérience parfaite",04/01/2021,PDC,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CS
cours bien expliqué,04/01/2021,PDC,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,C,1CS
"cours intéressant, mais ça serait mieux d'avoir plus d'exemples",04/01/2021,PDC,N,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CS
bien organisé,04/01/2021,PDC,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,E,D,1CS
j'ai tendance à dire qu'il y a beaucoup de textes dans quelques slides,04/01/2021,PDC,N,NE,NE,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,J,CO,1CS
le prof répond toujours aux questions et incite les étudiants à poser leurs questions  donc une bonne interaction,04/01/2021,PDC,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,G,1CS
j'ai trop aimé car j'ai appris de nouvelles choses,04/01/2021,PDC,P,NE,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,M,Pr,1CS
le prof présente d'une manière rapide j'aime pas du tout sa méthode,04/01/2021,PDC,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CS
