Commentaire,Séance,Module,Polarité,Attitude,Attente,Présentation,Contenu,Design,Général,Communication,Structure,Anxiété,Colère,Ennui,Joie,Mécontentement,Confusion,Utilité,Intrinsèque,Accomplissement,Cout,Satisfaction,Gratitude,Sentiment,Aspect,Niveau
"Très bien présenté, surtout avec l'idée de l'utilisation d'un tableau blanc j'aime bien","Apr 01, 2017",Esi,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CP
contenu intéressant,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,C,1CP
très bien structuré,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CP
juste ce qu'il faut côté design,"Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CP
séance interactive ,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CP
Cours bien enrichissant ,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,G,1CP
je n'admire pas vraiment la présentation,"Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,Pr,1CP
on peut dire que les notions intéressante .,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,M,C,1CP
j'apprécie pas forcément les exemples (je sens que c'est dépassé ) comme si le cour n'a pas évolué avec la technologie (avec tous mes respects pour l'équipe de préparation),"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,E,S,1CP
c'est juste des slides remplis ce n'est pas attirant,"Apr 01, 2017",Esi,N,NE,NE,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,E,D,1CP
présentation fade,"Apr 01, 2017",Esi,N,NE,NE,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,J,CO,1CP
Une bonne communication entre le prof et les étudiants,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,E,G,1CP
 je souhaite qu'on améliore le contenu et la présentation car on s'ennuie trop et ça nous donne pas envie d'assister,"Apr 01, 2017",Esi,N,NE,NE,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,J,Pr,1CP
Le cours est bien présenté,"Apr 01, 2017",Esi,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,C,1CP
Je préfère avoir plus d'exemples afin de bien assimiler les concepts,"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,S,1CP
"Organisé, une bonne cohérence entre les concepts","Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,A,G,1CP
J'ai du mal à suivre tellement les concepts sont nombreux et se ressemblent je me sens perdu,"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,J,D,1CP
"Bonne présentation , les slides sont bien animés","Apr 01, 2017",Esi,P,NE,NE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CP
"Le prof pose toujours des questions par rapport à la compréhension des étudiants et répond aux questions des étudiants, il y'a une bonne communication et gestion du cours, il me motive","Apr 01, 2017",Esi,P,A,NE,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,A,G,1CP
"Par contre là, oui trop de concepts difficile à assimiler tous à la fois, si tu rates une petite partie à cause de la connexion pourrie tu n'arrives plus à suivre la suite et ça me stresse car ça m'est arrivée plusieurs fois","Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,M,Pr,1CP
Manque légèrement de dynamisme,"Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,M,C,1CP
 pourrait être un peu plus orienté vers des exemples concrets,"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,S,1CP
